lga_new,ages60andUp,ages65andUp,ages70andUp,ages75andUp,ages80andUp,ages85andUp
DALWALLINU,298,206,132,84,53,21
DANDARAGAN,1053,803,530,286,143,51
DARDANUP,3018,2203,1494,931,526,240
DAREBIN,29008,22192,16653,11814,7635,4010
DARWIN,12125,8130,4821,2609,1213,534
DENMARK,2070,1574,1035,567,283,117
DERBY-WEST KIMBERLEY,873,506,238,107,57,28
DERWENT VALLEY,2612,1947,1306,773,412,157
DEVONPORT,7085,5433,3848,2415,1413,715
DIAMANTINA,41,27,10,4,3,1
DONNYBROOK-BALINGUP,1857,1321,879,490,241,125
DOOMADGEE,68,40,18,9,8,7
DORSET,2172,1620,1085,674,392,176
DOUGLAS,3074,2156,1364,749,367,149
DOWERIN,200,143,72,43,26,8
DUBBO REGIONAL,11519,8575,6022,3883,2241,1164
DUMBLEYUNG,170,125,78,45,15,3
DUNDAS,192,127,74,35,15,4
DUNGOG,2584,1883,1238,758,412,173
EAST ARNHEM,589,307,155,69,21,2
EAST FREMANTLE,1789,1292,859,544,341,180
EAST GIPPSLAND,17114,13327,9172,5469,2945,1411
EAST PILBARA,716,334,137,59,35,11
EDWARD RIVER,2690,2021,1417,951,596,262
ELLISTON,277,169,110,64,34,15
ESPERANCE,3270,2412,1678,1021,559,249
ETHERIDGE,238,171,110,57,17,3
EUROBODALLA,15347,11734,8050,4839,2706,1359
EXMOUTH,538,350,212,100,33,14
FAIRFIELD,42186,29950,20150,13029,7633,3900
FEDERATION,4463,3507,2489,1568,901,423
FLINDERS,798,575,373,208,79,42
FLINDERS RANGES,563,427,275,147,69,39
FORBES,2740,2162,1526,1003,610,250
FRANKLIN HARBOUR,474,361,235,136,64,46
FRANKSTON,29795,22048,15411,9605,5648,2900
FRASER COAST,36696,28525,19625,11351,5896,2629
FREMANTLE,7636,5703,3872,2481,1483,759
GANNAWARRA,3740,2956,2095,1341,740,361
GAWLER,6111,4695,3488,2352,1406,708
GEORGE TOWN,2174,1636,1070,635,337,151
GEORGES RIVER,32452,24056,17312,11524,7252,3965
GILGANDRA,1294,983,717,450,233,109
GINGIN,1766,1333,834,439,205,71
GLADSTONE,10491,7027,4426,2432,1210,575
GLAMORGAN - SPRING BAY,1970,1494,965,533,266,128
GLEN EIRA,30189,22726,16348,10904,7337,4256
GLEN INNES SEVERN,2969,2286,1621,1015,568,283
GLENELG,6151,4569,3062,1931,1101,562
GLENORCHY,11079,8347,5966,3878,2289,1136
GNOWANGERUP,311,202,118,61,34,15
GOLD COAST,131186,98764,68444,41676,23957,12191
GOLDEN PLAINS,4601,3156,1903,974,463,207
GOOMALLING,292,220,137,91,55,20
GOONDIWINDI,2566,1906,1308,810,430,194
GOSNELLS,21135,15208,10177,6130,3402,1578
GOULBURN MULWAREE,7968,6032,4158,2586,1474,767
GOYDER,1371,972,644,396,203,85
GRANT,2071,1472,900,488,237,117
GREATER BENDIGO,27286,20467,14117,8957,5246,2685
GREATER DANDENONG,31997,23868,16849,10774,6526,3263
GREATER GEELONG,60570,45867,32236,20554,12449,6517
GREATER GERALDTON,8119,5866,4021,2473,1389,640
GREATER HUME SHIRE,2957,2168,1441,877,476,249
GREATER SHEPPARTON,15483,11632,8070,5153,3070,1546
GRIFFITH,5750,4279,3090,2130,1419,755
GUNNEDAH,3050,2273,1650,1097,655,289
GWYDIR,1727,1353,968,588,316,146
GYMPIE,15924,11913,8072,4597,2436,1176
HALLS CREEK,375,208,110,48,25,17
HARVEY,5830,4101,2686,1515,799,319
HAWKESBURY,13360,9719,6507,3874,2091,967
HAY,826,624,451,293,153,54
HEPBURN,5398,4001,2629,1580,881,487
HILLTOPS,5513,4270,2934,1820,1010,504
HINCHINBROOK,3829,2993,2183,1473,921,447
HINDMARSH,2010,1573,1136,774,500,306
HOBART,12479,9316,6278,4026,2546,1420
HOBSONS BAY,19457,14383,10217,6778,4283,2300
HOLDFAST BAY,11500,8847,6429,4274,2820,1721
HOPE VALE,109,64,48,26,23,6
HORNSBY,32186,23947,17196,11204,6985,3798
HORSHAM,5244,3987,2856,1939,1214,670
HUME,33017,23147,15148,8839,4812,2207
HUNTERS HILL,3867,3079,2275,1549,1029,678
HUON VALLEY,4850,3517,2225,1229,657,275
INDIGO,4739,3395,2260,1258,696,334
INNER WEST,32872,24035,16495,10444,6446,3316
INVERELL,4555,3480,2501,1587,914,405
IPSWICH,32099,22751,15045,9121,5010,2346
IRWIN,1263,948,632,377,197,90
ISAAC,2226,1324,744,351,167,72
JERRAMUNGUP,231,159,96,60,26,11
JOONDALUP,34524,24423,15562,8904,5154,2646
JUNEE,1445,1025,703,399,208,113
KALAMUNDA,13310,10065,6902,4254,2367,1068
KALGOORLIE - BOULDER,3650,2265,1295,711,331,161
KANGAROO ISLAND,1619,1185,785,446,243,116
KAROONDA EAST MURRAY,383,300,208,129,85,58
KARRATHA,1428,784,376,190,83,42
KATANNING,958,689,491,306,178,82
KATHERINE,1460,948,565,323,139,62
KELLERBERRIN,358,288,198,140,91,45
KEMPSEY,9582,7100,4784,2886,1661,851
KENT,126,91,56,31,16,5
KENTISH,1820,1334,842,445,220,111
KIAMA,7300,5457,3797,2321,1353,730
KIMBA,274,223,167,113,75,38
KING ISLAND,519,377,264,170,97,46
KINGBOROUGH,9757,7247,4959,2942,1640,791
KINGSTON,37331,28329,20398,13452,8337,4415
KNOX,35035,25496,17342,10882,6375,3221
KOJONUP,556,412,281,195,118,62
KONDININ,224,161,115,71,39,17
KOORDA,115,77,52,31,13,5
KOWANYAMA,84,32,11,3,3,3
KU-RING-GAI,28949,22562,16881,11590,7519,4291
KULIN,201,150,93,63,41,24
KWINANA,5634,4034,2656,1619,856,374
KYOGLE,2989,2119,1382,832,473,240
LACHLAN,1617,1215,881,578,361,176
LAKE GRACE,298,195,118,65,31,12
LAKE MACQUARIE,54312,41601,29578,18613,11138,5687
LANE COVE,7144,5292,3823,2432,1505,873
LATROBE,22615,16848,11488,7200,4099,2039
LAUNCESTON,15827,11947,8427,5225,3109,1604
LAVERTON,154,75,33,24,8,5
LEETON,2657,2000,1455,940,541,255
LEONORA,202,123,56,29,15,7
LIGHT,3080,2092,1342,750,383,183
LISMORE,11454,8194,5413,3471,2057,1092
LITCHFIELD,3752,2338,1282,567,229,81
LITHGOW,6355,4868,3366,2050,1145,588
LIVERPOOL,33782,23634,15604,9497,5257,2413
LIVERPOOL PLAINS,2394,1770,1246,759,416,171
LIVINGSTONE,9550,6971,4662,2807,1574,764
LOCKHART,950,714,491,326,203,111
LOCKHART RIVER,74,47,27,14,4,3
LOCKYER VALLEY,9115,6750,4530,2550,1332,595
LODDON,2721,2091,1454,920,554,288
LOGAN,55757,39929,25725,14210,7461,3482
LONGREACH,826,593,374,230,140,63
