state,count,home_care_places,residential_places,restorative_care_places,total,hcp_perc,rp_perc,rcp_perc,total_perc
ACT,72,0,2585,78,2663,0,0.011908765496367482,0.015967246673490275,0.011939508879533359
NSW,1825,138,72560,1581,74279,0.12672176308539945,0.3342746709541294,0.32364380757420674,0.3330284566514677
NT,88,307,719,46,1072,0.28191000918273645,0.003312341350827164,0.009416581371545548,0.0048062912199999105
QLD,1121,159,41416,927,42502,0.14600550964187328,0.19079823280369657,0.18976458546571137,0.19055689312727256
SA,444,111,19087,394,19592,0.10192837465564739,0.08793137602675671,0.08065506653019447,0.08784035222223717
TAS,176,74,5193,129,5396,0.06795224977043159,0.02392348906098117,0.026407369498464686,0.02419286140216373
VIC,1533,88,57162,1206,58456,0.08080808080808081,0.2633380476995582,0.24687819856704196,0.2620863428696966
WA,535,212,18345,524,19081,0.19467401285583102,0.08451307660768334,0.10726714431934493,0.085549293627629
